professionSubtypeId,professionFamilyId,name,shortDescription,contextNotes,verbatimDescription,minimumSocietyLevel,typicalSocietyTypeIds,addedCoreTrainingGroupIds,addedCoreSkillIds,addedFavoredTrainingGroupIds,addedFavoredSkillIds,suggestedSpecializationIds,notes
embalmer,healer,Embalmer,"Specialist in body preparation, preservation, and funerary treatment.","Fits temple, urban, or formal mortuary cultures where treatment of the dead is specialized.",Embalmer,3,[],"[""healing_practice""]","[""medicine"", ""pharmacy""]",[],"[""theology"", ""poison_lore"", ""history""]",[],Completed package in review pass.
entertainer,performer,Entertainer,"General public performer combining music, story, movement, and stage presence.","Broad catch-all subtype for traveling, popular, or mixed-form performance.",Entertainer,1,[],"[""performance_basics""]","[""storytelling"", ""music""]","[""formal_performance""]","[""singing"", ""dancing"", ""acting"", ""bargaining""]",[],Completed package in final completion pass.
entertainers_dancer_acrobat,performer,Entertainers Dancer/Acrobat,Entertainers Dancer/Acrobat source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Entertainers Dancer/Acrobat,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
entertainers_singer_musician,performer,Entertainers Singer/Musician,Entertainers Singer/Musician source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Entertainers Singer/Musician,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
entertainers_trickster_fool,performer,Entertainers Trickster/Fool,Entertainers Trickster/Fool source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Entertainers Trickster/Fool,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
farmer,herdsman_rider,Farmer,"Agrarian producer trained in routine husbandry, food production, and practical rural work.",Broad rural livelihood subtype with more emphasis on routine production than mobile pastoral life.,Farmer,1,[],"[""animal_husbandry""]","[""animal_care"", ""herding""]",[],"[""baking"", ""brewing"", ""teamstering""]",[],Completed package in final completion pass.
fisher,sailor_navigator,Fisher,"Water-working livelihood subtype focused on practical fishing, nets, boats, and local waters.","Lower-threshold maritime subtype for coastal, river, and lake communities.",Fisher,1,[],"[""maritime_crew_training""]","[""boat_handling"", ""sailing""]",[],"[""navigation"", ""swim"", ""ropework""]",[],Completed package in final completion pass.
fixer,merchant_trader,Fixer,"Broker and middleman who arranges goods, favors, access, and informal solutions.",Urban network subtype that blends commerce with social influence and practical problem-solving.,Fixer,2,[],"[""mercantile_practice"", ""political_acumen""]","[""bargaining"", ""insight""]",[],"[""intrigue"", ""etiquette"", ""trading"", ""specific_language""]",[],Completed package in final completion pass.
gladiator,soldier,Gladiator,Gladiator source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Gladiator,2,[],[],[],[],[],[],Completed package in final completion pass. Arena subtype retained in Soldier.
healer,healer,Healer,"General healer subtype covering practical treatment, remedies, and routine medical care.","This is a broad catch-all healer for source use when a more specific folk, temple, learned, or court package is not required.",Healer,2,[],"[""healing_practice"", ""herb_and_remedy_craft""]","[""medicine"", ""first_aid""]",[],"[""herb_lore"", ""nursing"", ""pharmacy"", ""poison_lore""]","[""bone_setting"", ""obstetrics"", ""poison_treatment""]",Completed package in final completion pass. Broad medical catch-all subtype.
heavy_infantry,soldier,Heavy Infantry,"Disciplined close-combat infantry trained for line fighting, defense, and weight of arms.","Emphasizes sustained melee performance, cohesion, and battlefield durability.",Heavy Infantry,2,[],"[""basic_melee_training"", ""defensive_soldiering""]","[""parry"", ""formation_fighting""]",[],"[""polearms"", ""one_handed_concussion_axe"", ""battlefield_awareness""]",[],Completed package in review pass.
herald,courtier_diplomat,Herald,"Ceremonial and identity specialist trained in arms, announcements, lineage, and formal representation.","Fits noble, military, and court cultures where heraldic identity, announcements, and formal precedence matter.",Herald,4,[],"[""courtly_formation""]","[""heraldry"", ""oratory""]",[],"[""etiquette"", ""courtly_protocol"", ""history""]","[""etiquette_by_culture""]",Completed package in review pass.
herbalist,healer,Herbalist,"Plant specialist focused on remedies, materia medica, and useful natural preparations.","Sits between folk healing, pharmacy, and gathered practical knowledge.",Herbalist,1,[],"[""herb_and_remedy_craft""]","[""herb_lore"", ""pharmacy""]","[""healing_practice""]","[""first_aid"", ""poison_lore"", ""medicine""]",[],Completed package in final completion pass.
herder,herdsman_rider,Herder,Herder source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Herder,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
hermit,healer,Hermit,Solitary spiritual or practical survivalist living apart from ordinary society.,"May overlap with holy ascetic, wise recluse, or practical wilderness mystic depending setting.",Hermit,1,[],"[""mental_discipline""]","[""meditation"", ""self_control""]","[""omen_and_ritual_practice""]","[""divination"", ""herb_lore"", ""concentration""]",[],Completed package in review pass.
homemaker,merchant_trader,Homemaker,Homemaker source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Homemaker,2,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
hunter,herdsman_rider,Hunter,"Field worker trained in pursuit, game-taking, terrain use, and practical survival movement.",Rural and wilderness subtype with overlap into light combat or scouting.,Hunter,1,[],"[""fieldcraft_stealth""]","[""perception"", ""stealth""]",[],"[""bow"", ""throwing"", ""animal_care"", ""search""]",[],Completed package in final completion pass.
inn_keeper,merchant_trader,Inn Keeper,Inn Keeper source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Inn Keeper,2,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
jailer,soldier,Jailer,"Custodial security specialist responsible for confinement, control, and guarded detention.","Institutional security subtype that fits prisons, castles, barracks, civic jails, or lordly compounds.",Jailer,2,[],"[""basic_melee_training""]","[""perception"", ""captaincy""]",[],"[""insight"", ""search"", ""parry""]",[],Completed package in review pass.
lawyer,scholar_scribe,Lawyer,"Legal specialist trained in argument, procedure, and formal disputes.","Belongs in civic, court, bureaucratic, and urban societies where law is a professional practice rather than customary memory alone.",Lawyer,4,[],"[""civic_learning""]","[""law"", ""oratory""]",[],"[""rhetorical_composition"", ""bureaucratic_writing"", ""insight"", ""etiquette""]","[""specific_language""]",Completed package in review pass.
light_infantry,soldier,Light Infantry,"Mobile infantry subtype trained for skirmish, movement, and flexible battlefield action.","Less rigid than levy or heavy infantry; favors movement, missile use, and adaptable positioning.",Light Infantry,2,[],"[""basic_missile_training""]","[""perception"", ""dodge""]","[""field_soldiering""]","[""throwing"", ""bow"", ""battlefield_awareness""]",[],Completed package in review pass.
master_craftsmen,engineer_builder,Master Craftsmen,Master Craftsmen source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Master Craftsmen,3,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
merchant,merchant_trader,Merchant,"General trade profession managing exchange, value, and practical commercial movement.","This is the broad base merchant subtype, suitable where a more specific trader, factor, or banker package is not needed.",Merchant,2,[],"[""mercantile_practice""]","[""trading"", ""bargaining""]","[""commercial_administration""]","[""appraisal"", ""bookkeeping"", ""language"", ""teamstering""]","[""specific_language""]",Completed package in final completion pass. Broad commercial base subtype.
messenger,herdsman_rider,Messenger,Messenger source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Messenger,1,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
military_officer,soldier,Military Officer,"Martial leader trained in battlefield control, command presence, and tactical judgment.","This subtype emphasizes leadership over pure personal fighting skill. It suits officers, captains, senior sergeants, and unit commanders in organized armed forces.",Military Officer,4,[],"[""officer_training""]","[""captaincy"", ""tactics""]","[""veteran_leadership""]","[""perception"", ""oratory"", ""administration"", ""law"", ""combat_experience""]",[],Completed package in review pass.
miner,engineer_builder,Miner,Extractive labor specialist working underground or in exposed deposits to obtain stone or metal-bearing material.,"Heavy practical subtype tied to labor, geology-by-experience, and dangerous extraction work.",Miner,2,[],[],"[""stoneworking"", ""self_control""]",[],"[""run"", ""climb"", ""smithing""]",[],Completed package in final completion pass.
mourner,healer,Mourner,"Ritual or professional funeral participant trained in mourning forms, lament, and death-related observance.","Ceremonial subtype linked to funerary culture, grief ritual, and sometimes religious service.",Mourner,2,[],"[""performance_basics""]","[""singing"", ""recitation""]","[""omen_and_ritual_practice""]","[""theology"", ""ritual_interpretation"", ""history""]",[],Completed package in final completion pass.
musician,performer,Musician,"Instrumental performance specialist trained in music, rhythm, and public or court presentation.","Covers practical entertainers, ceremonial performers, and elite musicians.",Musician,2,[],"[""performance_basics""]","[""music"", ""singing""]",[],"[""dancing"", ""etiquette"", ""storytelling""]",[],Completed package in final completion pass.
noble,courtier_diplomat,Noble,"Elite status-holder trained in rank, ceremony, and practical authority.","Broad noble subtype for courtly, landed, or titled elites. Focuses on etiquette, heraldry, influence, and household-level authority rather than office routine.",Noble,4,[],"[""courtly_formation""]","[""etiquette"", ""heraldry""]","[""political_acumen""]","[""insight"", ""courtly_protocol"", ""captaincy"", ""law""]","[""etiquette_by_culture""]",Completed package in review pass.
outrider_scout,soldier,Outrider/Scout,Outrider/Scout source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Outrider/Scout,2,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
peddler,merchant_trader,Peddler,Small-scale itinerant trader selling goods directly across settlements or roads.,Low-threshold commercial subtype dependent on mobility and practical bargaining rather than major capital.,Peddler,1,[],"[""mercantile_practice""]","[""bargaining"", ""trading""]",[],"[""teamstering"", ""animal_care"", ""insight""]",[],Completed package in final completion pass.
personal_servant,courtier_diplomat,Personal Servant,"Trusted domestic attendant trained in household service, discretion, and elite etiquette.","Household-support subtype for noble, princely, and high-status environments where proximity, manners, and reliability matter.",Personal Servant,3,[],"[""courtly_formation""]","[""etiquette"", ""insight""]",[],"[""courtly_protocol"", ""social_perception""]",[],Completed package in review pass.
philosopher,scholar_scribe,Philosopher,Philosopher source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Philosopher,3,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
pickpocket,thief_infiltrator,Pickpocket,Urban theft specialist trained in close-range covert stealing from persons and crowds.,"Narrow criminal subtype for dense urban, market, and festival settings.",Pickpocket,2,[],"[""street_theft""]","[""pickpocket"", ""conceal_object""]",[],"[""stealth"", ""insight"", ""search""]",[],Completed package in final completion pass.
politician,courtier_diplomat,Politician,"Power-seeking public or court actor trained in faction, rhetoric, and practical influence.","Belongs in civic, courtly, and factional settings where persuasion, intrigue, and relationship management are professionalized.",Politician,4,[],"[""courtly_formation"", ""political_acumen""]","[""intrigue"", ""oratory""]",[],"[""insight"", ""law"", ""administration"", ""detect_lies""]","[""specific_language""]",Completed package in review pass.
priest,healer,Priest,"Sacred specialist trained in doctrine, ritual interpretation, and organized religious practice.",This is the formal religious office-holder rather than the broader folk-healer or shamanic type. It belongs especially in temple and literate sacred cultures.,Priest,3,[],"[""sacred_learning"", ""omen_and_ritual_practice""]","[""theology"", ""ritual_interpretation""]",[],"[""history"", ""divination"", ""literacy"", ""oratory""]","[""specific_language""]",Completed package in final completion pass. Formal sacred-office subtype.
prospector,herdsman_rider,Prospector,"Searcher for useful deposits, hidden resources, or economically valuable terrain.","Field subtype sitting between miner, scout, and practical searcher.",Prospector,1,[],[],"[""search"", ""perception""]",[],"[""stoneworking"", ""teamstering"", ""run""]",[],Completed package in final completion pass.
prostitute,merchant_trader,Prostitute,Prostitute source-listed occupation subtype.,Source-listed occupation retained in the pack and awaiting deeper rule-detail refinement if needed.,Prostitute,2,[],[],[],[],[],[],Source: Professions.xlsx / Future professions.
prostitute_courtesan,courtier_diplomat,Prostitute – Courtesan,Sexual-social specialist whose role ranges from survival trade to elite influence depending context.,Handled here as the courtly/high-social end of the source label; lower-end prostitution can be modeled more simply in play.,Prostitute – Courtesan,2,[],[],"[""seduction"", ""insight""]",[],"[""bargaining"", ""etiquette"", ""detect_lies""]",[],Completed package in final completion pass.
sailor,sailor_navigator,Sailor,"General seafaring worker trained in ordinary shipboard labor, vessel routine, and waterborne travel.","This is the generic sailor subtype beneath more specialized navigators and officers. It fits commercial, military, and fishing vessels.",Sailor,2,[],"[""maritime_crew_training""]","[""sailing""]",[],"[""ropework"", ""boat_handling"", ""swim"", ""bargaining""]",[],Completed package in final completion pass. Generic maritime subtype.
scribe,scholar_scribe,Scribe,"General literate record-keeper trained in copying, records, and formal writing.",Broad scribal subtype suitable where a more specific temple or court clerk package is not needed.,Scribe,3,[],"[""literate_foundation""]","[""literacy"", ""bureaucratic_writing""]","[""civic_learning""]","[""history"", ""theology"", ""administration""]","[""specific_language""]",Completed package in final completion pass.
shaman,healer,Shaman,"Ritual specialist blending healing, spirit-work, omen reading, and communal guidance.","Best for low-literacy, clan, pastoral, or orally transmitted sacred traditions rather than formal temple bureaucracy.",Shaman,1,[],"[""omen_and_ritual_practice""]","[""divination"", ""ritual_interpretation""]","[""healing_practice"", ""herb_and_remedy_craft""]","[""theology"", ""herb_lore"", ""concentration"", ""insight""]",[],Completed package in review pass.
ships_officer,sailor_navigator,Ships Officer,"Command-capable maritime subtype overseeing crew work, route discipline, and shipboard order.",Bridges working seamanship and leadership rather than full independent navigation alone.,Ships Officer,3,[],"[""maritime_crew_training""]","[""sailing"", ""captaincy""]","[""maritime_navigation""]","[""navigation"", ""ropework"", ""perception""]","[""navigation_by_environment""]",Completed package in final completion pass.
slave_master,courtier_diplomat,Slave master,"Harsh supervisory specialist responsible for coerced labor, discipline, and control of dependents.",Authority-and-control subtype for coercive labor systems; placed here because the role is primarily managerial and social-authoritative rather than covert.,Slave master,3,[],[],"[""captaincy"", ""insight""]",[],"[""bargaining"", ""detect_lies"", ""administration""]",[],Completed package in review pass. Family corrected in civic-control direction.
smuggler,merchant_trader,Smuggler,"Illicit trader moving goods across borders, tolls, law, or social restrictions.",Commercial-criminal subtype balancing trade skill with concealment and route knowledge.,Smuggler,2,[],"[""mercantile_practice""]","[""trading"", ""bargaining""]",[],"[""conceal_object"", ""stealth"", ""sailing"", ""teamstering""]","[""specific_language""]",Completed package in final completion pass. Illicit trade subtype.
soothsayer,healer,Soothsayer,"Divinatory specialist focused on signs, omens, and prophetic interpretation.",Sacred or mystical subtype centered more on foretelling and interpretation than on institutional priestly office.,Soothsayer,2,[],"[""omen_and_ritual_practice""]","[""divination"", ""omen_reading""]",[],"[""ritual_interpretation"", ""astrology"", ""insight""]","[""augury""]",Completed package in final completion pass.
spy,thief_infiltrator,Spy,"Covert political operator using disguise, stealth, and controlled social deception.","This subtype belongs in court, state, military, and intrigue-heavy settings where infiltration is at least as social as it is physical.",Spy,3,[],"[""covert_entry"", ""political_acumen""]","[""disguise"", ""intrigue""]",[],"[""stealth"", ""detect_lies"", ""etiquette"", ""search""]","[""etiquette_by_culture""]",Completed package in final completion pass. Covert-political subtype.
street_thug,thief_infiltrator,Street Thug,"Urban intimidator or enforcer using threat, violence, and local underworld presence.",Criminal muscle subtype for city and market environments.,Street Thug,1,[],[],"[""brawling"", ""insight""]",[],"[""one_handed_concussion_axe"", ""stealth"", ""bargaining""]",[],Completed package in final completion pass. Urban enforcer subtype.
student,scholar_scribe,Student,"Formal learner in a literate, scholarly, or institutional training environment.",Broad educational subtype representing someone in active study rather than a fully established profession.,Student,3,[],"[""literate_foundation""]","[""literacy"", ""language""]","[""civic_learning""]","[""history"", ""theology"", ""philosophy""]","[""specific_language""]",Completed package in final completion pass. Educational subtype.
tax_collector,scholar_scribe,Tax Collector,"Revenue official trained to assess, record, and extract dues, rents, or taxes.","Administrative subtype for literate states, temples, estates, and civic authorities where revenue collection is formalized.",Tax Collector,4,[],"[""civic_learning"", ""commercial_administration""]","[""administration"", ""bookkeeping""]",[],"[""law"", ""bureaucratic_writing"", ""insight"", ""bargaining""]","[""specific_language""]",Completed package in final completion pass. Revenue-office subtype.
thief,thief_infiltrator,Thief,"General covert criminal operator trained in stealth, entry, concealment, and theft.","This is the broad rogue subtype, suitable where a more specific burglar, pickpocket, or spy package is not needed.",Thief,2,[],"[""covert_entry"", ""street_theft""]","[""stealth"", ""search""]","[""trap_and_intrusion_work""]","[""lockpicking"", ""pickpocket"", ""conceal_object"", ""hide""]",[],Completed package in final completion pass. Broad rogue subtype.
torturer,thief_infiltrator,Torturer,"Coercive interrogator or punitive specialist using intimidation, pain, and confinement knowledge.","Source-listed occupation. Reassigned from Merchant/Trader to Thief/Infiltrator because the role fits coercive interrogation, prison, and intimidation functions rather than commerce.",Torturer,2,[],[],"[""insight""]",[],"[""detect_lies"", ""medicine"", ""intrigue""]",[],Completed package in final completion pass. Coercive interrogation subtype.
watchman,soldier,Watchman,"Low-grade civic guard or patrolman responsible for local watch, alarm, and street order.","Source-listed occupation. Reassigned from Thief/Infiltrator to Soldier because the role is primarily guard, patrol, and low-grade civic security rather than covert intrusion.",Watchman,2,[],"[""basic_melee_training""]","[""perception""]","[""defensive_soldiering""]","[""search"", ""captaincy""]",[],Completed package in final completion pass. Civic guard subtype.
woodcutter,engineer_builder,Woodcutter,"Practical rural labor subtype specializing in timber cutting, woodland work, and heavy manual extraction.",Best treated as a rough craft/labor profession rather than a full engineer or builder in the learned sense.,Woodcutter,1,[],[],"[""carpentry"", ""run""]",[],"[""climb"", ""self_control"", ""leatherworking""]",[],Completed package in final completion pass.
